颐合府,9.4/10分,-在售-普通住宅-地铁沿线-总部园区-毛坯-入围年度人气榜,13630,-二居(1)-三居(5)-四居(5),浐灞欧亚六路与广运潭大道交汇十字向北200米（浐灞第四小学西对面）,2023年1月7日开盘
小区名称,评分,特色,价格,主推房型,项目地址,近期开盘
中梁鎏金雲玺,9.3/10分,-待售-普通住宅-现房-地铁沿线-低密居所,19500,-三居(2)-四居(3),西咸新区沣泾大道与石化大道交汇处西南侧,2022-05-08
万科东望,9.2/10分,-在售-普通住宅,18600,-三居(3)-四居(1),曲江长鸣路与东月路交叉路口东北侧,上樾5#预计2023年3月21日开盘
保利·天珺,9.1/10分,-待售-大平层-品牌地产-第四代住宅-毛坯,待定,,曲江雁塔南路与航天北路十字西北角,暂无资料
高新·天谷雅舍,9.0/10分,-在售-大平层-品牌地产-低密居所-带装修,27479,-四居(5),高新天谷四路以北、云水三路以东、云水二路以西,2022年8月6日12#,16#楼已开盘
欧森国际,／5分,-在售-标准写字楼-毛坯-公共部分带装修,12500,-开间(10),高新高新区丝路软件城云水公园旁,2022年4月28日B栋楼已开盘
中天曦园,4.10／5分,-在售-大平层-叠拼-毛坯,12000,-三居(3)-四居(3)-五居(2),汉台梁中路与诸汉路东北角,2022年8月28日已开盘
高新·黑稻田,4.04／5分,-在售-普通住宅-品牌地产-带装修,10000,-一居(5)-二居(5)-三居(3),周边汉中市洋县青阳路南端,暂无资料
白桦林漫步,8.8/10分,-在售-普通住宅-大平层-叠拼-住宅底商,15000,-三居(5)-四居(3),西咸新区汉阳大道南,白桦林漫步4#、6#和9#于2022年8月9日开盘
龙湖星河云河颂,9.3/10分,-待售-大平层-品牌地产-地铁沿线,21000,-四居(3),长安神州四路与航创路十字交汇处,暂无资料
金泰·唐618,9.5/10分,-在售-大平层-品牌地产,28500,-三居(2)-四居(1),曲江南二环南侧，雁翔路以东，新安路以西,2023年1月14日
天地源·永安华府,9.3/10分,-待售-普通住宅-大平层-品牌地产-地铁沿线,25263,-三居(1)-四居(3),高新中央创新区经二十六路和纬三十路交汇东南角,暂无资料
中粮·大悦未来城,9.5/10分,-待售-洋房-央企开发-第四代住宅,待定,-三居(3)-四居(5),长安西部大道中段,暂无资料
雲玥府,9.3/10分,-在售-普通住宅-品牌地产-地铁沿线-国企开发-入围年度人气榜,16294,-三居(3)-四居(1),浐灞国际港务区港务大道与港兴三路交会处向西500米,8#楼于2023年05月08日已开盘
金地·乐华 翰林艺境,8.6/10分,-在售-普通住宅-洋房-住宅底商-品牌地产,12500,-二居(1)-三居(1)-四居(1),西咸新区泾河湾路以南黄冈泾河学校东侧,2021年10月16日3、8、9#开盘
枫林九溪·漪溪,9.6/10分,-待售-普通住宅-低密居所-毛坯-带装修,19459,-四居(2),浐灞灞渭大道与港丰路十字东北角,2021年9月10日
天地源棠樾坊,9.2/10分,-在售-普通住宅-品牌地产-毛坯,23000,-三居(2),高新中央创新区双江二路与兴隆三路十字东北角,2023年1月1日6#楼已开盘选房
高科·云天,9.2/10分,-待售-普通住宅-大平层-地铁沿线-国企开发,待定,-四居(3),高新天谷三路与云水三路十字交汇处东北角,暂无资料
中粮·奥体壹号,9.3/10分,-在售-普通住宅-品牌地产-毛坯-带装修,17330,-四居(3),浐灞港兴四路与鼎盛路交汇处,一期3#、4#、9#、16#于2023年04月07日已开盘
港悦城,9.2/10分,-在售-普通住宅-洋房-品牌地产-地铁沿线,15000,-三居(6)-四居(2),浐灞管委会东，港兴三路陆港金融小镇东侧,2022-12-31
润玺臺,9.2/10分,-待售-普通住宅-洋房-品牌地产-地铁沿线,15805,-三居(1)-四居(2),浐灞国际港务区港兴二路以北、融合路以西,2023年4月26日10号楼开盘
